RespondentID	,	CollectorID	,	StartDate	,	EndDate	,	IP Address	,	Email Address	,	First Name	,	LastName	,	Custom Data	,	This course is using a flipped classroom approach in lecture, where we spend most of our lecture time on problem solving. How do you feel about this approach for this course?	,	Do you have any comments on the flipped approach?	,	How often do you do the readings or watch the videos BEFORE lecture?	,	How often do you do the readings or watch the videos EVENTUALLY?	,	How do you find the pace of the lecture?	,	Please describe something the instructor has done to help your learning in this course.	,	What is one thing we could change to help your learning in this course?                                                                                                                                                                                                                                                                                                                           
3533924883	,	59568092	,	10-22-2014	,	10-22-2014	,	142.104.73.9	,		,		,		,		,	Dislike somewhat	,	Questions not shown on the slides are not really clearly sometimes.	,	Less than half the time	,	Less than half the time	,	A bit too slow	,	post the assignment result or the midterm result/solution in time.	,	Make the slides more detailed(like include questions and solutions in the lecture.). Sometimes I got confused but I couldn't refer to the slides. I had to figure out by myself which cost a lot of time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3533916369	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.164.4	,		,		,		,		,	Dislike somewhat	,		,	Never or almost never	,	More than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3533906758	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.130.167	,		,		,		,		,	Like strongly	,	As someone who has programmes in java before, it helps me stay engaged in the class as I actually have to solve problems too. In a typical lecture it would be incredible easy to not pay attention, but the flipped lecture style allows me to make sure I actually know what I'm doing.	,	Never or almost never	,	More than half the time	,	About right	,	The memory trace was really interesting and a good way to keep track of what was happening	,	The labs don't always correspond to the stuff we do in lecture                                                                                                                                                                                                                                                                                                                                                                                                                    
3533903308	,	59568092	,	10-22-2014	,	10-22-2014	,	108.180.151.98	,		,		,		,		,	Like somewhat	,		,	Never or almost never	,	Always or nearly always	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533872602	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.161.100	,		,		,		,		,	Dislike strongly	,		,	Never or almost never	,	Always or nearly always	,	A bit too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3533847814	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.86.176	,		,		,		,		,	Like somewhat	,		,	Less than half the time	,	More than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533846329	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.147.21	,		,		,		,		,	Dislike strongly	,	I feel like this approach is almost useless to  an individual who is still trying to learn how to code and are still struggling with the rules and the language of java. I feel lectures would be alot more helpful and engaging if the lectures were taught, more like the videos on the connex website, where he shows us a code and a problem and he slowly walks us through the process of solving a problem. Many of the first year students that i know failed the exam, while the experienced students were able to get higher scores on the midterm. This different approach to teaching is only useful to the students who know it. The students who know it, still know it and the the students who are struggling, are failing.	,	More than half the time	,	Always or nearly always	,	About right	,	Very patient and is very helpful with answering questions	,	Longer lectures on how to actually go through and solve a code
3533845498	,	59568092	,	10-21-2014	,	10-21-2014	,	24.108.137.137	,		,		,		,		,	Dislike somewhat	,	I feel like it helps, but most of the time its hard to keep up with people who really understand it when some people have watched the videos but still cant grasp the topic. I think there needs to be more in class help.	,	Less than half the time	,	More than half the time	,	A bit too fast	,	I really like melanie, shes upbeat and knows how to describe specific things we need help on.	,	Having more questions to work on, more time to do big assignments                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
3533843663	,	59568092	,	10-21-2014	,	10-21-2014	,	209.121.45.142	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	Always or nearly always	,	About right	,	Assignments are very helpful in that they force you to learn to do certain things, that is, if you want a good mark.	,	It would be interesting to have every lecture end with a small challenge assignment (not for marks, purely for critical thinking/practice) & begin with the instructor's solution of the previous lecture's challenge assignment; people in class would then be able to ask questions, offer their thoughts, and propose alternative solutions.                                                                                                                                                                                                                                                                                                                                                                                               
3533842931	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.171.119	,		,		,		,		,	Dislike somewhat	,		,	Always or nearly always	,	Always or nearly always	,	About right	,	Going between her notes and writing code for visual learning and seeing code work. Explaining code step by step.	,	How long she takes to answer specific question personally to students not the whole class.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533842033	,	59568092	,	10-21-2014	,	10-21-2014	,	24.108.144.13	,		,		,		,		,	Like strongly	,		,	Always or nearly always	,	Always or nearly always	,	About right	,	Very understandable when she's teaching, also describes things she is doing very well and leaves nothing out	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3533839370	,	59568092	,	10-21-2014	,	10-21-2014	,	209.121.225.201	,		,		,		,		,	Like somewhat	,	It is good to go over the topics in class, but more time should be spent reviewing the topics with review questions .	,	Always or nearly always	,	Less than half the time	,	A bit too fast	,	Met during office hours to help with assignment and mid term.	,	See question 1.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3533833053	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.167.139	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Never or almost never	,	Way too slow	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3533833037	,	59568092	,	10-21-2014	,	10-21-2014	,	24.244.23.154	,		,		,		,		,	Dislike strongly	,	I think that this method of teaching would work well for students familiar with the material; however, beginners such as myself feel completely lost. Teaching myself the course matter from the textbook is not working for me. I have other courses to focus on and I cannot teach myself Java from scratch from the textbook.	,	Always or nearly always	,	Always or nearly always	,	A bit too fast	,	She is very friendly and open to assisting during office hours.	,	I would appreciate lectures and introductions to the course matter, rather than having to learn it alone and then review it in class.                                                                                                                                                                                                                                                                                                                         
3533810736	,	59568092	,	10-21-2014	,	10-21-2014	,	24.108.140.68	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	Always or nearly always	,	Way too slow	,	Example based learning works really well for me, and the examples given are generally well picked.	,	Too much time is wasted when a problem is given and we get 15 minutes to solve it. Almost every time me and the people sounding me are finished in less than half the time and have to wait for 10 minutes. From the amount of noise it seems like that's true of the large majority of the class.                                                                                                                                                                                                                                                                                                                                                                                                                                                              
3533806474	,	59568092	,	10-21-2014	,	10-21-2014	,	96.50.69.113	,		,		,		,		,	Like strongly	,		,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,	Answers all the questions very well!	,	Pick up the pace in class a bit.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3533805579	,	59568092	,	10-21-2014	,	10-21-2014	,	96.50.69.133	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	More than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533800496	,	59568092	,	10-21-2014	,	10-21-2014	,	209.121.225.159	,		,		,		,		,	Dislike somewhat	,	It's a little bit hard for international students to catch up with .	,	Less than half the time	,	Less than half the time	,	A bit too fast	,	Gives lots of examples.	,	No idea..                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3533797296	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.164.248	,		,		,		,		,	Neutral	,		,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,	Good examples, and showing different ways of doing the same thing	,	A lot of the lecture is introducing of the exact same material we already read in the book. Showing different things (like the try/catch) would be more benificial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3533796594	,	59568092	,	10-21-2014	,	10-21-2014	,	24.69.54.70	,		,		,		,		,	Like strongly	,		,	More than half the time	,	Always or nearly always	,	A bit too slow	,	Very engaging.	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533786367	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.162.24	,		,		,		,		,	Neutral	,	I am really enjoying the approach as it helps me when talking about the problem with others rather than getting stuck and switching subjects	,	Less than half the time	,	Less than half the time	,	About right	,	I have found that going over the different problems in class gives me a better understanding of what each function do and how it works	,	To improve the course I would give out a problem to solve and then at some point towards the end of the lecture give about 10 minutes to figure it out, then hand it in (with a name and student # on it) and that way after each lecture, it would be clear who understood the new concept and who didn't. Then depending on how well a student did, the prof could ask the student (through email?) if they wanted to go over the concept any more. it could be done in groups as well to save time. Hope that makes sense....                                                        
3533782788	,	59568092	,	10-21-2014	,	10-21-2014	,	96.50.71.232	,		,		,		,		,	Like strongly	,		,	Always or nearly always	,	Always or nearly always	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533778502	,	59568092	,	10-21-2014	,	10-21-2014	,	24.108.128.218	,		,		,		,		,		,	It's effective for exam.	,	Always or nearly always	,	Less than half the time	,	About right	,	It's good right now.	,	The assignment maybe sometimes can be less difficult than now. Maybe talk about the assignment or give the orientation on the lecture or lab.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3533771316	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.134.177	,		,		,		,		,	Like somewhat	,		,	More than half the time	,	Always or nearly always	,	About right	,	Help clinics are really useful in order to learn and understand what you didn't get during the lectures. I really appreciate how willing are the TAs and the instructor to help us whatever problem we have.	,	Last time I went to the help clinic to get some help in the Assignment #3, the instructor suggested me a solution that it resulted not following the specifics given by her. I don't mind the point I've lost for this reason but I hope next time to be given a correct suggestion.                                                                                                                                                                                                                                                                                                                                                                  
3533771151	,	59568092	,	10-21-2014	,	10-21-2014	,	96.50.84.39	,		,		,		,		,	Like somewhat	,		,	Less than half the time	,	Always or nearly always	,	About right	,	Answer my question(s) on the forum.	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533768943	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.134.104	,		,		,		,		,	Dislike strongly	,		,	Never or almost never	,	Never or almost never	,	Way too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3533764676	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.80.81	,		,		,		,		,	Neutral	,		,	Less than half the time	,	More than half the time	,	About right	,		,	I think that it would be better if there were other kinds of problems involved. People learn through different ways. Perhaps something that has an artistic side, or a real-life problem. java can get dull, so I think that the more variety in class, the better it'll be for everyone to be engaged in learning the material.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3533764456	,	59568092	,	10-21-2014	,	10-21-2014	,	24.69.49.255	,		,		,		,		,	Dislike strongly	,	Way too much group involvement  for my taste. I prefer the normal classroom approach as it maximizes what i can learn  from the prof,who I am paying to learn from.	,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,		,	Provide a more normal approach option for those who don't  agree with the flipped class.  Perhaps lecture notes or something else along those lines.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
3533755393	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.86.51	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	Less than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533745850	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.140.48	,		,		,		,		,	Like somewhat	,		,	Always or nearly always	,	More than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533743459	,	59568092	,	10-21-2014	,	10-21-2014	,	173.183.78.213	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	Less than half the time	,	About right	,	Going around the class helping students iron out areas of confusion	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3533739563	,	59568092	,	10-21-2014	,	10-21-2014	,	154.5.180.31	,		,		,		,		,	Like strongly	,		,	Always or nearly always	,	Always or nearly always	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533729421	,	59568092	,	10-21-2014	,	10-21-2014	,	96.50.92.134	,		,		,		,		,	Like strongly	,	Its great, the time and length of these lectures would make a normal class very hard to stay focused through	,	Less than half the time	,	More than half the time	,	A bit too fast	,		,	Give a little more time for us to try the mini-assignments you give in class. Sometimes ill be very close to getting it, but then you show the solution before I have had time to finish it                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
3533728588	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.85.204	,		,		,		,		,	Like somewhat	,	I think it's a really good idea and effective for many students to get help in class she we do examples of problems.	,	Less than half the time	,	More than half the time	,	A bit too fast	,	Provide examples in classes so we can see the functions or codes in context.	,	To go a little slower for students to digest all the new materials. However, I understand this may be because there is a lot to cover in one term so it would be best not to leave so much near the end.                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3533725766	,	59568092	,	10-21-2014	,	10-21-2014	,	96.50.74.73	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	Less than half the time	,	About right	,	Answer my questions.	,	Talks more about assignments.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3533721228	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.147.222	,		,		,		,		,	Like somewhat	,		,	Never or almost never	,	Never or almost never	,	A bit too slow	,	Allows plenty of opportunities for questions relevant to the lecture and the current homework assignment	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3533720667	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.151.116	,		,		,		,		,	Like strongly	,	What well, especially for a subject as hands-on as computer programming. On the odd occasion that I come to class not having watched the assigned videos, I am still able to pick things up by working with other students.	,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,	I enjoy and appreciate the instructor's enthusiastic encouragement of asking questions in class.	,	Maybe speed it up a little...just a tad.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3533719598	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.183.122	,		,		,		,		,	Dislike strongly	,		,	More than half the time	,	More than half the time	,	A bit too fast	,		,	Give more instructions on assignments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3533719355	,	59568092	,	10-21-2014	,	10-21-2014	,	24.68.101.230	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	More than half the time	,	A bit too slow	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3533717780	,	59568092	,	10-21-2014	,	10-21-2014	,	24.68.101.219	,		,		,		,		,	Like strongly	,		,	More than half the time	,	Always or nearly always	,	A bit too slow	,		,	Post complete solutions for worked problems in class online afterwards                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3533715517	,	59568092	,	10-21-2014	,	10-21-2014	,	24.108.146.14	,		,		,		,		,	Dislike somewhat	,	Could you please make some important notes about lecture. Because not all of us can fully understand the content from our textbook. Thank you.	,	More than half the time	,	Less than half the time	,	Way too fast	,		,	Could you please make some important notes about lecture or explain some confused descriptions according to your teaching experiences ?  Because not all of us can fully understand the content from our textbook. Thank you.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
3533715378	,	59568092	,	10-21-2014	,	10-21-2014	,	108.180.148.228	,		,		,		,		,	Dislike strongly	,		,	Less than half the time	,	More than half the time	,	Way too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3533715109	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.86.188	,		,		,		,		,	Like strongly	,		,	More than half the time	,	Always or nearly always	,	About right	,	I honestly absolutely love the flipped classroom approach. It is really helping me learn the course content.	,	Maybe offer study guides? Like extra questions to study for the midterms and final exam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
3533714399	,	59568092	,	10-21-2014	,	10-21-2014	,	184.66.29.214	,		,		,		,		,	Like strongly	,		,	Never or almost never	,	Never or almost never	,	A bit too slow	,	Examples in class and labs really help	,	Nothing really.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3533714174	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.83.189	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Never or almost never	,	Way too slow	,	She does a good job answering all questions clearly and walking through the code very clearly	,	Maybe move a little bit faster, sometimes it feels like we spend an entire 1.5 hr course on only 2-3 problems and the class feels like a waste of time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
3533713372	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.145.136	,		,		,		,		,	Like strongly	,	Problem solving is how I learn best.	,	Always or nearly always	,	Always or nearly always	,	About right	,	Taking time to answer questions.	,	Improve lab structure: See where the students are at, and what they'd like to work on, rather than writing specific lesson plans.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3533712758	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.188.163	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Never or almost never	,	A bit too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3533711460	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.132.208	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Never or almost never	,	About right	,	Over explaining	,	Explain how certain things we learn will tie into the assignment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
3533710301	,	59568092	,	10-21-2014	,	10-21-2014	,	206.87.166.193	,		,		,		,		,	Dislike somewhat	,		,	Never or almost never	,	More than half the time	,	About right	,	Nothing really.  The labs actually do all the work	,	More examples in class                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3533709932	,	59568092	,	10-21-2014	,	10-21-2014	,	154.20.34.126	,		,		,		,		,	Like somewhat	,		,	More than half the time	,	More than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3533708298	,	59568092	,	10-21-2014	,	10-21-2014	,	96.50.85.232	,		,		,		,		,	Neutral	,	I like the idea of it but sometimes I find that I don't have time or forget to read before class so when that happens, I find myself sitting there lost	,	Less than half the time	,	More than half the time	,	A bit too fast	,	I really like going over examples in class	,	I feel like something's could be gone over in a little more detail. At the same time, not so much that you're wasting class time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3533705311	,	59568092	,	10-21-2014	,	10-21-2014	,	216.232.156.210	,		,		,		,		,	Dislike strongly	,	What is the point of going to class if we have to learn everything by ourselves. The lectures are the equivalent of a less helpful lab.	,	More than half the time	,	Always or nearly always	,	A bit too slow	,	Give us the videos for free.	,	Teach in class especially now that the material is getting harder.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
3533704619	,	59568092	,	10-21-2014	,	10-21-2014	,	134.87.130.61	,		,		,		,		,	Neutral	,		,	Always or nearly always	,	Always or nearly always	,	A bit too fast	,		,	Teacher may can give some hints to the assignment on the class.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
